dialogue_id,chat_name,group,n_speakers,spk_bin,n_chars,len_bin,n_questions,short_ratio,preview
Chat_001__batch_00014,Chat_001,discussion,6,many,1339,short,4,0.05,"2025-07-04T11:20:20 | Speaker_A: Я недавно покупала просто штучку для просмотра ворд файлов во встроенном окне, получилось 15к долларов на год 2025-07-04T11:20:48 | Speaker_A: Обычные цены для корпов 2025-07-04T11:48:57 "
Chat_001__batch_00002,Chat_001,status,4,mid,12313,,1,0.15,"2025-07-02T11:49:43 | Speaker_B: Только сегодня так? 2025-07-02T11:51:18 | Speaker_E: пока да, я приболел + завтра ДР, но подключиться по зуму могу 2025-07-02T11:53:56 | Speaker_C: Шаблон для работы команды <url> 2025-07"
Chat_001__batch_00067,Chat_001,discussion,5,mid,1171,short,5,0.35,2025-07-17T21:04:06 | Speaker_C: Успех 2025-07-17T21:05:34 | Speaker_B: Хороши 2025-07-18T00:06:57 | Speaker_G: бот рабоатет на серваке и ллм-ка локальная 2025-07-18T00:07:29 | Speaker_G: но функции не все рабочие пока ч
Chat_002__batch_00023,Chat_002,status,3,few,2312,long,1,0.15,"2023-03-20T17:13:25 | Speaker_B: да, это я так понял стартовый капитал, мы его расписывали же 2023-03-20T17:13:54 | Speaker_A: Ну мы расписали просто облако 2023-03-21T11:29:34 | Speaker_A: Платформа Яндекса для работы с"
Chat_001__batch_00065,Chat_001,action_strong,7,many,8387,,2,0.1,2025-07-16T18:14:27 | Speaker_C: Ты где ваще мальчик 2025-07-16T18:15:51 | Speaker_E: гуляю 2025-07-16T18:16:19 | Speaker_C: Фотку скинь 2025-07-16T18:16:22 | Speaker_C: Для презентации 2025-07-17T12:05:20 | Speaker_C: П
Chat_003__batch_00000,Chat_003,action_strong,6,many,2746,long,2,0.1,"2025-10-06T19:08:05 | Speaker_A: Привет! Меня зовут Георгий, бакалавр по Информационным системам и технологиям. Сейчас магистрант ИТМО по ИИ. Летом из программиста переквалифицировался в продакта AI-стартапа, но в планах"
Chat_002__batch_00005,Chat_002,noisy,4,mid,1044,short,3,0.35,2023-01-13T15:52:07 | Speaker_B: я в туалет и реди 2023-01-13T15:52:13 | Speaker_B: да 2023-01-13T15:52:13 | Speaker_C: Оке 2023-01-13T15:52:56 | Speaker_D: Я через 10 минут смогу 2023-01-13T15:56:37 | Speaker_D: все жду
Chat_001__batch_00001,Chat_001,discussion,6,many,1419,medium,5,0.15,"2025-07-01T21:13:59 | Speaker_F: аа 2025-07-01T21:16:13 | Speaker_F: Пишем все свои мысли в столбце боли, да? 2025-07-01T21:16:36 | Speaker_F: Просто вижу ты создал по именам еще столбцы, они для чего? 2025-07-01T21:26:3"
Chat_001__batch_00060,Chat_001,action_strong,5,mid,3337,long,3,0.1,"2025-07-15T13:55:04 | Speaker_A: Мы быстрые 2025-07-15T15:50:05 | Speaker_C: <user_1> встречаемся там же на вакансий 2025-07-15T16:45:24 | Speaker_B: <user_4> пофиксить ответ от модели, чтобы начала отвечать <user_6> - д"
Chat_002__batch_00012,Chat_002,action_strong,2,few,1304,short,2,0.2,"2023-01-22T18:03:18 | Speaker_D: Ты правильно ответил, но сейчас я знаю одно, что это нужно изучать, так как без понятия как делать 2023-01-22T18:03:42 | Speaker_D: Я завтра только смогу сесть разбирать это 2023-01-22T18"
